"lagoslakeid","UID","mercury","atrazine","microcystin","ecoli","chla","tp","tn","secchi","DOC","conductivity","lake_huc12","neon_zoneid","lake_lon_decdeg","lake_lat_decdeg","lake_shorelinedevfactor","ws_zoneid","ws_area_ha","value.soil_clay_pct","value.soil_depthtobedrock_cm","value.soil_kffact","value.soil_orgcarbon_gperkg","nlcd_devsum_pct","ag_total","value.runoff_inperyr","P_Ag_Buffered","DMR_Metals_TWPE_lb_eq_yr","DMR_Organic_Enrichment_Disch","Number_of_CSOs","SNFA_MEAN","PIMPV","Manure_P_kg_ha","HUC12_Pop","lake_waterarea_ha"
1335,2010422,0.153,0.05,0,0,8.19,9.82875,0.716,2.5,6.93,400.4,70102060801,5,-93.12356065,45.07162501,1.401461287,1335,393.3926,17.64108619,5790.212751,0.209427916,96.51971665,89.19908467,1.876430206,5.614070907,70.42253521,0,0,0,3.429464817,21.72408045,0.0321326741,59932.76136,59.47743701
1352,2011416,0.0716,0,0,1,3.14,13.4,0.384,4.2,10.38,122.6,70300010703,4,-92.4720025,46.052753,1.13268838,1352,91.34548,11.31972789,2652.592971,0.1101369898,110.3752834,11.74168297,0.4892367906,11.17432802,97.2255939,0,0,0,3.544687271,0.1783572856,0.6111426283,288.6368769,21.10450869
1406,2010286,0.0876,0.03,0,6.3,5.73,12.2,0.365,2.4,4.7,333.1,40500070406,4,-85.45859084,42.61970366,1.528825517,1406,702.9452623,10.97551596,3858.366491,0.1876913253,162.1788232,5.204460967,0.0128188694,11.46765427,84.76429733,0,0,0,12.80377007,2.573037082,1.098798215,5704.338205,13.79744527
1411,2010696,0.0559,0.05,0.192,0,3.17,16.12875,0.585,3.5,4.89,311.9,90201030405,8,-95.83996465,46.41946566,1.263044024,1411,102.8126,18.28316087,7248.408278,0.1899999976,69.27939793,6.190061029,55.97210113,3.490157973,99.82506631,0,0,0,15.28094959,0.3212153721,1.171463926,401.8323649,34.26740892
1420,2010933,0.507,0,0,24.9,3.51,13.79625,0.491,23.7,4.21,150.8,20402020202,1,-74.78856898,39.84998222,3.382451261,1420,1283.971917,6.042148818,1738.215022,0.1716368642,135.3437829,21.13752718,2.43355074,21.91160148,89.60253891,0,2521.35135,0,1.922656178,8.744908662,0.01132752727,58299.90157,11.06126095
1437,2011034,0.0376,6.2,1.495,1,92.6,74.015,3.631,0.5,13.15,472.1,40500011603,4,-85.37036534,41.40073361,1.836760357,1437,3792.155476,19.23420607,7335.362491,0.3173738688,84.16601828,4.70384515,75.01719762,11.36065769,59.52366412,0,0,0,53.33467484,1.828522751,1.21198132,3335.493386,52.81388851
1530,2011423,0.312,0,0,5.2,18.9,58.5,0.537,0.5,20.8,18,40103010701,4,-91.72473473,46.45779351,1.190405881,1530,327.4096636,10.86767538,2239.928198,0.288864442,128.7636864,1.429749794,0,14.13252428,97.39978332,0,0,0,0.1114161834,0.2605771052,0.003549141887,1747.908907,4.430328737
1763,2011077,0.0581,0.09,0.89,0,12.8,30.0975,0.674,1.4,4.67,163.7,51402010302,6,-86.64319367,38.12730622,2.10804356,1763,2316.457247,16.92015921,669.8087489,0.3589092124,106.2285569,5.302412306,27.28897176,18.34275715,43.60804672,0,0,0,10.32550907,0.2811746261,0.783005486,1157.798302,55.38274665
1828,2010581,0.0722,0,0,0,0.65,5.855,0.273,12.2,2.91,279.4,40700050206,4,-84.18021385,45.12481926,1.248470187,1828,388.5610803,9.164697372,4105.535327,0.150000006,150.5840367,14.21625376,0.0231535078,11.76389573,97.49552773,0,0,0,0.02112137154,0.7531242075,0.002410965807,157.1073634,55.808921
1847,2010736,0.108,0,0,0,1.86,11.6025,0.464,7,8.12,224.7,90300060103,4,-93.6652418,47.5223375,1.410522179,1847,121.2654,11.68397626,3987.994807,0.3100000024,105.1839763,5.192878338,1.706231454,6.680592488,99.15492958,0,0,0,0.4198610783,0.346619091,0.02511278334,232.9601193,19.1846435
2039,2010375,0.0607,0.08,0,2,19.04,55.1575,0.903,1.2,8.01,128.3,50400010401,4,-80.98127693,40.79014035,1.292608022,2039,47.67278067,21.15340909,1741.890152,0.4499999881,140.3143939,3.21969697,28.40909091,14.16618516,56.42876675,0,1.976706327,0,22.66391754,0.4803431505,1.941097697,882.9096626,16.04975575
2097,2010915,0.0537,0.12,0.159,21.6,63.36,176.175,1.171,0.6,4.64,552.6,50600020106,6,-83.37620066,39.8693323,2.494610103,2097,8014.118398,23.86931837,3427.746473,0.3585093926,71.75508437,12.61807685,79.16905348,12.83346908,34.1816561,0,0,0,57.56819916,0.9040274023,0.2448820753,1487.288995,42.24776103
2106,2010383,0.0393,0.34,1.063,0,9.05,23.19625,0.795,2.1,5.1,440.7,51201060202,5,-85.78843845,41.28327547,4.28326883,2106,1514.538183,18.33954375,3713.884646,0.2216810353,92.79474882,11.04640799,68.18586963,11.9505034,65.04309644,0,0,0,35.99200821,8.962788876,3.601886314,13800.82624,258.8125707
2176,2011470,0.172,0,0,0,2.82,9.56,0.201,3.1,5.43,19.2,70500030204,4,-90.15106083,46.01986842,1.425064494,2176,101.5535,7.742804085,2077.373259,0.1499111085,138.6248839,4.977777778,0,13.49474386,85.625,0,0,0,0.0543785207,0.1940853052,0,104.1341789,27.04641919
2197,2011375,0.111,0,0,4.1,3.14,27.17625,0.578,2.9,3.04,384.1,40601010509,4,-86.44055051,43.93510536,3.193801293,2197,159887.9318,9.01072094,3114.43864,0.1662478753,156.5304719,6.03758015,14.6315021,15.13302119,69.95969632,32.90867468,23893,0,11.16196918,10.73866177,0.634670021,9196.044977,246.8490614
2200,2010746,0.172,0.03,1.423,0,4.14,8.4975,0.335,3.2,3.13,128.6,10900020203,0,-70.44178445,41.64867935,1.054252402,2200,701.2019996,4.112712301,2620.953809,0.2346250886,350.7328873,43.04823151,2.996784566,19.96267349,88.85941645,0,0,0,0,5.221887224,0,2359.796245,21.6479924
2234,2011296,0.068,0,0.335,0,2.84,9.09875,0.465,4.5,4.83,290.7,40601020506,4,-84.99971634,43.95681529,1.791007605,2234,223.7411866,7.713970912,2485.653592,0.1326334772,153.4557074,23.28382176,3.091128061,11.90678778,69.02811815,0,0,0,2.862438917,0.6240577448,0.5405030459,947.6795334,27.5888128
2271,2011223,0.132,1.51,0,1,9.33,40.77125,3.775,1.6,3.53,418.5,50800030712,5,-84.96907473,39.61176759,2.16511046,2271,4692.272893,20.0924881,2143.59957,0.3570191254,80.61812913,10.28596636,64.08638447,13.35308458,49.14834136,0,1202.71,0,60.98727036,1.690233557,0.9460092632,2543.973465,68.96657897
2287,2010810,0.0737,0.04,0,45.7,21,41.77,0.903,1.4,8.19,397.9,70102040501,5,-94.3331649,44.99951958,1.274994332,2287,1398.952,19.97275513,6871.550626,0.25,77.62123634,5.374823197,78.88646007,4.511301426,82.20873523,0,0,0,44.27761078,1.055285201,5.755717754,876.762187,428.0376132
2344,2010454,0.0381,0,2.69,0,89.6,124.0225,1.834,0.4,6.4,215,70102070702,4,-93.34527908,45.47435511,2.006105067,2344,1349.07,11.07286864,3497.704535,0.1299999952,72.50361247,7.423929689,40.36220787,6.503649882,92.74538153,0,0,0,23.60666084,2.121005539,0.3932114633,8649.406235,146.7078409
2370,2011180,0.164,0,0,2,22.3,30,0.373,0.5,16.5,13.5,70700010401,4,-89.26961281,45.86674075,1.56628978,2370,556.9715,5.646359584,1551,0.1518697468,150.9612019,3.4583064,0.177763413,12.98281291,98.70751556,0,0,0,2.450307131,0.8045608184,0.02534893903,1629.513021,24.75851676
2414,2010534,0.0815,0.09,0.108,0,205.92,175.50375,3.944,0.4,12.71,214.5,41100010401,4,-82.08359086,41.11157661,1.67979321,2414,22286.23687,21.41045337,1801.591429,0.3876903329,134.5108798,5.935084758,56.36796072,12.52977961,54.52291396,0,1022.899159,0,29.86806107,0.9065911652,0.7200726268,3480.497177,36.09098375
2458,2011305,0.0569,1.72,0.161,0,25.28,52.91375,0.948,1.3,5.59,129.8,51402010402,6,-86.77659662,38.25522293,1.805770802,2458,539.7899424,16.46984339,654.4846718,0.3544685047,100.4923359,5.064978341,22.40919693,17.5257046,37.47891058,0,0,0,23.4505825,0.2707778047,8.727796817,333.3684654,16.05005453
2751,2010572,0.262,0,0,0,4.84,18.61375,0.363,3.9,6.06,25.4,40101010601,4,-90.48633286,47.91120579,2.959404389,2751,247.8922846,15.20030523,1121.930942,0.2300000042,266.8702785,1.162790698,0,11.94160474,97.6744186,0,0,0,0.03978288546,0.8262083293,0.007232653451,283.3563641,80.34530862
2826,2011035,0.114,0.04,0.259,6.3,9.14,22.285,0.605,1.7,8.79,143.9,40601020302,4,-85.48175152,44.24724072,1.707476453,2826,6606.289826,7.25644165,2435.955092,0.1078279435,170.3515979,6.026837409,6.897350317,14.25119546,98.38823057,0,0,0,1.845828056,3.956798095,0.1457435122,10909.07837,1074.03943
2882,2010685,0.0959,0,0,0,5.84,18.3225,0.589,3.5,6.67,290.8,70101040803,8,-94.6982435,46.00964266,1.621760867,2882,606.6858,13.19179735,3810.276387,0.184333578,93.31966224,4.773906598,16.39733136,5.620779322,79.32675566,0,0,0,5.757544041,0.3895372928,3.411360833,363.695223,91.76817458
